Start,End,Cycle,Line,Equipment,Part,Parameter,Expected_value_min,Expected_value_max,Value,Date
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,13.55,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1472.51,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,6.63,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,102.97,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,103.01,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,8.13,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,152.92,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,139.33,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.59,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,150.14,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,138.54,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,29.89,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,119.39,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,115.6,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,87.18,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,87.8,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,101.21,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,7.05,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,62.59,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,121.32,NULL
8:00:00 AM,10:00:00 AM,1,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,123.5,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,13.3,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,2001.82,NULL
